"start";"end";"Name of Structure";"Type of Structure";"Picture of Structure";"Picture of Structure_URL";"Coordinate of Structure";"_Coordinate of Structure_latitude";"_Coordinate of Structure_longitude";"_Coordinate of Structure_altitude";"_Coordinate of Structure_precision";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"__version__";"_tags";"_index"
"2025-06-15T13:47:57.452+01:00";"2025-06-15T16:03:41.073+01:00";"COLLEGE OF ENGINEERING";"Colleges";"1749992017301.jpg";"https://kc.kobotoolbox.org/media/original?media_file=aneehatprecious%2Fattachments%2Fb24eafc23d52430bba582f447039a9a3%2F3c9a0521-beef-4e7f-bb63-30f748310dc9%2F1749992017301.jpg";"6.689206 3.1682083 62.0 4.8";"6.689206";"3.1682083";"62.0";"4.8";"498219792";"3c9a0521-beef-4e7f-bb63-30f748310dc9";"2025-06-16T07:59:50";"";"";"submitted_via_web";"aneehatprecious";"v38viv9xZKSDkUJVjVv9LV";"";"1"
"2025-06-15T13:54:18.776+01:00";"2025-06-15T16:03:48.460+01:00";"Prof Raifu Isola Salawu Gazebo ( Engineering Gazebo )";"Pavillion ";"1749992124204.jpg";"https://kc.kobotoolbox.org/media/original?media_file=aneehatprecious%2Fattachments%2Fb24eafc23d52430bba582f447039a9a3%2Fcf16dd94-cb4b-4ad1-8d2f-79260afbb8f3%2F1749992124204.jpg";"6.6891087 3.1681222 62.0 4.95";"6.6891087";"3.1681222";"62.0";"4.95";"498219923";"cf16dd94-cb4b-4ad1-8d2f-79260afbb8f3";"2025-06-16T08:00:04";"";"";"submitted_via_web";"aneehatprecious";"v38viv9xZKSDkUJVjVv9LV";"";"2"
"2025-06-15T13:56:14.073+01:00";"2025-06-15T16:06:17.442+01:00";"College of Environmental Science";"Colleges";"1749992246610.jpg";"https://kc.kobotoolbox.org/media/original?media_file=aneehatprecious%2Fattachments%2Fb24eafc23d52430bba582f447039a9a3%2F2090a8ad-988a-443c-8070-88e8e8e2d365%2F1749992246610.jpg";"6.6894496 3.1682511 62.0 4.225";"6.6894496";"3.1682511";"62.0";"4.225";"498219971";"2090a8ad-988a-443c-8070-88e8e8e2d365";"2025-06-16T08:00:10";"";"";"submitted_via_web";"aneehatprecious";"v38viv9xZKSDkUJVjVv9LV";"";"3"
"2025-06-15T13:58:11.897+01:00";"2025-06-15T16:06:22.588+01:00";"COLENVS GAZEBO";"Pavillion ";"1749992342105.jpg";"https://kc.kobotoolbox.org/media/original?media_file=aneehatprecious%2Fattachments%2Fb24eafc23d52430bba582f447039a9a3%2Fac18f074-8d29-411c-bd66-4ef949931979%2F1749992342105.jpg";"6.6893017 3.1683167 62.0 3.9";"6.6893017";"3.1683167";"62.0";"3.9";"498220217";"ac18f074-8d29-411c-bd66-4ef949931979";"2025-06-16T08:00:39";"";"";"submitted_via_web";"aneehatprecious";"v38viv9xZKSDkUJVjVv9LV";"";"4"
"2025-06-15T13:59:45.677+01:00";"2025-06-15T16:06:31.056+01:00";"LECTURE THEATRE 1";"Lecture Hall/Class-Rooms";"1749992427968.jpg";"https://kc.kobotoolbox.org/media/original?media_file=aneehatprecious%2Fattachments%2Fb24eafc23d52430bba582f447039a9a3%2Fe551c78a-91f2-488d-add4-2923b9e99fac%2F1749992427968.jpg";"6.68929 3.1683317 62.0 4.6";"6.68929";"3.1683317";"62.0";"4.6";"498220280";"e551c78a-91f2-488d-add4-2923b9e99fac";"2025-06-16T08:00:49";"";"";"submitted_via_web";"aneehatprecious";"v38viv9xZKSDkUJVjVv9LV";"";"5"
"2025-06-15T14:00:50.112+01:00";"2025-06-15T16:07:01.588+01:00";"Clarity Print";"Printing Press";"1749992472463.jpg";"https://kc.kobotoolbox.org/media/original?media_file=aneehatprecious%2Fattachments%2Fb24eafc23d52430bba582f447039a9a3%2Fadf11c67-44de-4b7c-bd6e-df8660133c8a%2F1749992472463.jpg";"6.6895719 3.1682812 62.0 4.684";"6.6895719";"3.1682812";"62.0";"4.684";"498220362";"adf11c67-44de-4b7c-bd6e-df8660133c8a";"2025-06-16T08:00:59";"";"";"submitted_via_web";"aneehatprecious";"v38viv9xZKSDkUJVjVv9LV";"";"6"
"2025-06-15T14:03:16.967+01:00";"2025-06-15T16:08:40.347+01:00";"LECTURE THEATRE II";"Lecture Hall/Class-Rooms";"1749992675554.jpg";"https://kc.kobotoolbox.org/media/original?media_file=aneehatprecious%2Fattachments%2Fb24eafc23d52430bba582f447039a9a3%2F954a7243-7b88-4755-a39e-de5a286400b6%2F1749992675554.jpg";"6.6899398 3.1679189 62.0 3.8";"6.6899398";"3.1679189";"62.0";"3.8";"498220568";"954a7243-7b88-4755-a39e-de5a286400b6";"2025-06-16T08:01:26";"";"";"submitted_via_web";"aneehatprecious";"v38viv9xZKSDkUJVjVv9LV";"";"7"
"2025-06-15T14:09:43.694+01:00";"2025-06-15T16:08:54.021+01:00";"BUPF LECTURE THEATRE";"Lecture Hall/Class-Rooms";"1749993077815.jpg";"https://kc.kobotoolbox.org/media/original?media_file=aneehatprecious%2Fattachments%2Fb24eafc23d52430bba582f447039a9a3%2F9eb4e79d-84e1-4879-b899-fd06600b054c%2F1749993077815.jpg";"6.6895325 3.1679275 62.0 4.842";"6.6895325";"3.1679275";"62.0";"4.842";"498220645";"9eb4e79d-84e1-4879-b899-fd06600b054c";"2025-06-16T08:01:31";"";"";"submitted_via_web";"aneehatprecious";"v38viv9xZKSDkUJVjVv9LV";"";"8"
"2025-06-15T14:22:26.245+01:00";"2025-06-15T16:09:02.952+01:00";"COLLEGE OF MANAGEMENT SCIENCE";"Lecture Hall/Class-Rooms";"1749993828033.jpg";"https://kc.kobotoolbox.org/media/original?media_file=aneehatprecious%2Fattachments%2Fb24eafc23d52430bba582f447039a9a3%2F3a1140a3-4edf-4b14-bcf8-169afdd63060%2F1749993828033.jpg";"6.6889421 3.1679213 69.0 4.04";"6.6889421";"3.1679213";"69.0";"4.04";"498220694";"3a1140a3-4edf-4b14-bcf8-169afdd63060";"2025-06-16T08:01:36";"";"";"submitted_via_web";"aneehatprecious";"vrQQqeJxtP3XDKjMBRtFaW";"";"9"
"2025-06-15T14:24:13.572+01:00";"2025-06-15T16:10:57.534+01:00";"COLMANS GAZEBO";"Pavillion ";"1749993874526.jpg";"https://kc.kobotoolbox.org/media/original?media_file=aneehatprecious%2Fattachments%2Fb24eafc23d52430bba582f447039a9a3%2F9f3e20f6-0b68-42f8-b75a-f89e3e816b7e%2F1749993874526.jpg";"6.688354 3.1681553 61.5 3.1";"6.688354";"3.1681553";"61.5";"3.1";"498220821";"9f3e20f6-0b68-42f8-b75a-f89e3e816b7e";"2025-06-16T08:01:47";"";"";"submitted_via_web";"aneehatprecious";"vrQQqeJxtP3XDKjMBRtFaW";"";"10"
