Name of Structure,Type of Structure,Picture of Structure,Coordinate of Structure,latitude,longitude,_Coordinate of Structure_altitude
COLLEGE OF ENGINEERING,Colleges,1749992017301.jpg,6.689206 3.1682083 62.0 4.8,6.689206,3.1682083,62
Prof Raifu Isola Salawu Gazebo ( Engineering Gazebo ),Pavillion ,1749992124204.jpg,6.6891087 3.1681222 62.0 4.95,6.6891087,3.1681222,62
College of Environmental Science,Colleges,1749992246610.jpg,6.6894496 3.1682511 62.0 4.225,6.6894496,3.1682511,62
COLENVS GAZEBO,Pavillion ,1749992342105.jpg,6.6893017 3.1683167 62.0 3.9,6.6893017,3.1683167,62
LECTURE THEATRE 1,Lecture Hall/Class-Rooms,1749992427968.jpg,6.68929 3.1683317 62.0 4.6,6.68929,3.1683317,62
Clarity Print,Printing Press,1749992472463.jpg,6.6895719 3.1682812 62.0 4.684,6.6895719,3.1682812,62
LECTURE THEATRE II,Lecture Hall/Class-Rooms,1749992675554.jpg,6.6899398 3.1679189 62.0 3.8,6.6899398,3.1679189,62
BUPF LECTURE THEATRE,Lecture Hall/Class-Rooms,1749993077815.jpg,6.6895325 3.1679275 62.0 4.842,6.6895325,3.1679275,62
COLLEGE OF MANAGEMENT SCIENCE,Lecture Hall/Class-Rooms,1749993828033.jpg,6.6889421 3.1679213 69.0 4.04,6.6889421,3.1679213,69
COLMANS GAZEBO,Pavillion ,1749993874526.jpg,6.688354 3.1681553 61.5 3.1,6.688354,3.1681553,61.5
ARCHITECTURE POSTGRADUATE WING ( GLASS-HOUSE ),Lecture Hall/Class-Rooms,1749993951729.jpg,6.6891462 3.1675705 57.29999923706055 4.614,6.6891462,3.1675705,57.2999992370606
EXCEEDING GRACE,Food Vendors,1749994119636.jpg,6.6890957 3.1673778 69.0 4.057,6.6890957,3.1673778,69
AKARA SPOT,Food Vendors,1749994212011.jpg,6.6891089 3.167224 59.39999771118164 4.4,6.6891089,3.167224,59.3999977111816
YOMICE CAFE,Food Vendors,1749994247645.jpg,6.6891508 3.1672383 59.39999771118164 3.85,6.6891508,3.1672383,59.3999977111816
